Time,Size,Location,County,State,Lat,Lon,Comments
2241,150,1 E ARAPAHOE,CHEYENNE,CO,38.85,-102.15,(GLD)
2306,125,HOLYOKE,PHILLIPS,CO,40.58,-102.3,(BOU)
2330,175,3 NNE RATON CREWS AIRPO,COLFAX,NM,36.78,-104.48,(ABQ)
2340,275,3 E AMHERST,PHILLIPS,CO,40.67,-102.12,(BOU)
2349,125,14 S KANORADO,WALLACE,KS,39.13,-102.04,(GLD)
2352,100,13 S KANORADO,SHERMAN,KS,39.15,-102.02,(GLD)
2355,175,12 W BENKELMAN,DUNDY,NE,40.05,-101.76,(GLD)
0004,125,VENANGO,PERKINS,NE,40.76,-102.04,(LBF)
0005,175,2 W PARKS,DUNDY,NE,40.04,-101.77,(GLD)
0018,100,KANORADO,SHERMAN,KS,39.34,-102.04,(GLD)
0021,100,6 NW OGALLALA,KEITH,NE,41.19,-101.8,(LBF)
0025,125,3 E KANORADO,SHERMAN,KS,39.34,-101.98,(GLD)
0027,175,3 E KANORADO,SHERMAN,KS,39.34,-101.98,(GLD)
0037,125,12 W GOODLAND,SHERMAN,KS,39.35,-101.93,(GLD)
0050,150,8 NW GOODLAND,SHERMAN,KS,39.43,-101.82,(GLD)
0050,175,7 N RULETON,SHERMAN,KS,39.44,-101.88,(GLD)
0053,100,ROLL,ROGER MILLS,OK,35.78,-99.72,(OUN)
0058,175,2 NW KEYSTONE,KEITH,NE,41.24,-101.62,(LBF)
0104,175,4 NNW KINGSLEY DAM,KEITH,NE,41.27,-101.69,(LBF)
0121,100,8 S GRANT,PERKINS,NE,40.73,-101.73,(LBF)
0130,175,11 NNW GOODLAND,SHERMAN,KS,39.5,-101.79,(GLD)
0130,100,12 N GOODLAND,SHERMAN,KS,39.52,-101.71,(GLD)
0136,175,6 N WALLACE,LINCOLN,NE,40.92,-101.16,(LBF)
0136,200,7 NW LEMOYNE,KEITH,NE,41.36,-101.9,(LBF)
0145,150,8 SSE GRANT,PERKINS,NE,40.74,-101.67,IT HAILED FOR 5 MINUTES. (LBF)
0149,175,13 S WHEELER,SHERMAN,KS,39.57,-101.69,(GLD)
0202,100,8 S MADRID,PERKINS,NE,40.73,-101.54,(LBF)
0211,100,8 SW BIRD CITY,CHEYENNE,KS,39.66,-101.62,(GLD)
0214,100,BIRD CITY,CHEYENNE,KS,39.75,-101.53,(GLD)
0215,175,BIRD CITY,CHEYENNE,KS,39.75,-101.53,(GLD)
0218,150,5 SW BIRD CITY,CHEYENNE,KS,39.7,-101.6,(GLD)
0236,175,10 S ELSIE,PERKINS,NE,40.7,-101.39,(LBF)
0247,175,3 S GRAINTON,PERKINS,NE,40.78,-101.29,(LBF)
0431,100,GOTHENBURG,DAWSON,NE,40.93,-100.16,(GID)
0500,100,1 NW ROCKVILLE,SHERMAN,NE,41.13,-98.84,(GID)
0824,150,11 S BROKEN BOW,CUSTER,NE,41.25,-99.64,(LBF)
