Time,F_Scale,Location,County,State,Lat,Lon,Comments
2003,UNK,ODEN,MONTGOMERY,AR,34.62,-93.79,*** 2 INJ *** HOUSE WAS REPORTED TO BE DESTROYED IN WEST SIDE OF ODEN. TWO REPORTED TO BE INJURED. POWER LINES ALSO DOWN...AND HIGHWAY 88 IS BLOCKED. (LZK)
2008,UNK,PERKINS,PAYNE,OK,35.98,-97.03,LASTED ABOUT 30 SECONDS. REPORTED BY KWTV. (OUN)
2015,UNK,5 E PERKINS,PAYNE,OK,35.98,-96.94,REPORTED BY KWTV (OUN)
2017,UNK,2 NW AMITY,PIKE,AR,34.29,-93.49,TRAILER WAS DESTROYED AND THREE HOUSES WERE DAMANGED. REPORT RELAYED THROUGH KLRT. (LZK)
2019,UNK,4 N AMITY,CLARK,AR,34.32,-93.46,*** 3 INJ *** DAMAGE ALSO WAS REPORTED NORTH OF AMITY. (LZK)
2026,UNK,RIPLEY,PAYNE,OK,36.02,-96.9,REPORTED BY KWTV (OUN)
2038,UNK,LAKE OUACHITA STATE PAR,GARLAND,AR,34.62,-93.19,MOVING TOWARDS LENA LANDING. (LZK)
2042,UNK,BONNERDALE,HOT SPRING,AR,34.38,-93.38,TREES REPORTED DOWN OVER HIGHWAY 70. (LZK)
2051,UNK,MEYERS,GARLAND,AR,34.46,-93.35,TORNADO WAS REPORTED. (LZK)
2057,UNK,COVE,POLK,AR,34.44,-94.41,DAMAGE REPORTED IN COVE. (LZK)
2104,UNK,BRADY MOUNTAIN RECREATI,GARLAND,AR,34.58,-93.27,NUMEROUS TREES AND POWERLINES WERE REPORTED TO BE DOWN. (LZK)
2135,UNK,2 E WICKES,POLK,AR,34.3,-94.3,TORNADO WAS REPORTED. (LZK)
2237,UNK,PROPHETSTOWN,WHITESIDE,IL,41.67,-89.93,CONFIRMED TORNADO ON SPRING HILL AND VANDAM ROAD (DVN)
