Time,Speed,Location,County,State,Lat,Lon,Comments
1235,UNK,LINCOLN,BENTON,MO,38.39,-93.33,TREES DOWN. ONE TREE FELL ON A GARAGE. TIME ESTIMATED FROM RADAR. (SGF)
1310,UNK,4 E VERSAILLES,MORGAN,MO,38.43,-92.77,TREES DOWN BLOCKING HIGHWAYS C AND E. (SGF)
1322,UNK,CALIFORNIA,MONITEAU,MO,38.63,-92.57,LARGE TREES BLOWN DOWN IN CALIFORNIA AND JUST EAST OF TIPTON (LSX)
1348,UNK,2 S JEFFERSON CITY,COLE,MO,38.54,-92.19,WINDS ESTIMATED AT 60 MPH TORE SHINGLES OFF OF A HOME. (LSX)
1354,UNK,JEFFERSON CITY,COLE,MO,38.57,-92.19,SIX TO EIGHT INCH TREE SNAPPED IN EAST SIDE OF JEFFERSON CITY. (LSX)
1357,UNK,JEFFERSON CITY,COLE,MO,38.57,-92.19,SIXTEEN INCH DIAMETER TREE SNAPPED. (LSX)
1400,UNK,WAINWRIGHT,CALLAWAY,MO,38.58,-92.07,TREES DOWN BLOCKING BOTH LANES OF HIGHWAY 94 NEAR WAINRIGHT (LSX)
1730,UNK,SHELBY TOWNSHIP,MACOMB,MI,42.67,-83.03,NUMEROUS 2-3 INCH BRANCHES DOWN AND ONE 10 INCH BRANCH DOWN AT 25 MILE AND JEWELL RD. (DTX)
1807,UNK,3 S DECKERVILLE,SANILAC,MI,43.48,-82.75,ONE BARN AND TREES BLOWN DOWN...ANOTHER BARN WITH ROOF BLOWN OFF. (DTX)
1830,UNK,FORT KENT,AROOSTOOK,ME,47.26,-68.59,2 TREES DOWN,ONE ON HIGHLAND RD AND THE OTHER ON S PERLEY BROOK RD (CAR)
1845,UNK,5 N HEBRON,HAMILTON,OH,39.14,-84.7,1-FT DIAMETER TREE SNAPPED AS WELL AS SEVERAL BRANCHES DOWN (ILN)
1905,UNK,READING,HAMILTON,OH,39.22,-84.43,6-INCH DIAMETER BRANCHES DOWN (ILN)
1913,UNK,MONROE,BUTLER,OH,39.45,-84.35,BRANCHES 3-4 INCHES IN DIAMETER DOWN (ILN)
1927,UNK,SPRINGBORO,WARREN,OH,39.56,-84.24,TREES DOWN. VIA SOCIAL MEDIA. (ILN)
1928,UNK,2 E SPRINGBORO,WARREN,OH,39.57,-84.19,ONE LARGE BRANCH AND MANY SMALL BRANCHES DOWN (ILN)
1935,UNK,OAKWOOD,MONTGOMERY,OH,39.72,-84.17,TREE DOWN (ILN)
1938,UNK,HARVEYSBURG,WARREN,OH,39.5,-84,4-INCH DIAMETER BRANCHES DOWN (ILN)
1940,UNK,KETTERING,MONTGOMERY,OH,39.7,-84.15,TWO REPORTS OF LARGE BRANCHES BLOWN DOWN (ILN)
1948,59,KDAY DAYTON COX APT,MONTGOMERY,OH,39.9,-84.22,(ILN)
2007,UNK,S SPRINGFIELD,CLARK,OH,39.93,-83.8,TREE SNAPPED (ILN)
2010,UNK,3 NNE SPRINGFIELD,CLARK,OH,39.96,-83.78,LARGE BRANCHES DOWN (ILN)
2030,UNK,ASHLAND,ASHLAND,WI,46.58,-90.87,4 FT DIAMETER PINE TREE AND 1 FT DIAMETER BIRCH TREE DOWN (DLH)
2035,UNK,ELDRIDGE,LACLEDE,MO,37.83,-92.75,COMMUNICATIONS TOWER BLOWN DOWN. (SGF)
2037,75,4 W DENNIS,LABETTE,KS,37.35,-95.49,BLEW A CAR OFF OF THE ROAD. (ICT)
2045,59,KMRT MARYSVILLE APT,UNION,OH,40.22,-83.35,(ILN)
