Time,Speed,Location,County,State,Lat,Lon,Comments
1756,UNK,KENNEDALE,TARRANT,TX,32.65,-97.22,ROOF PEALED OFF A BUILDING WITH INTERIOR DAMAGE. PUBLIC STORAGE UNTIS NEXT DOOR LAST WALLS AND ROOFS. (FWD)
1823,UNK,KEWADIN,ANTRIM,MI,44.93,-85.37,TREE DOWN IN KEWADIN. (APX)
1823,UNK,2 NE KEWADIN,ANTRIM,MI,44.95,-85.34,MULTIPLE TREES DOWN (APX)
1900,UNK,MANCELONA,ANTRIM,MI,44.9,-85.06,TREE DOWN IN MANCELONA. (APX)
1910,UNK,HOUGHTON LAKE,ROSCOMMON,MI,44.3,-84.76,TREES DOWN. (APX)
1910,UNK,WALLOON LAKE,CHARLEVOIX,MI,45.27,-84.92,POWER LINES DOWN. (APX)
1910,UNK,2 NW WALLOON LAKE,CHARLEVOIX,MI,45.29,-84.95,REPORTED AT WALLOON LAKE COUNTRY CLUB. 40 TREES UPROOTED. WIND SPEED ESTIMATED AT 70 MPH. (APX)
1936,UNK,2 W STANWOOD,MECOSTA,MI,43.58,-85.48,MECOSTA CO. DISPATCH STATED A DOWNED TREE HAS BROUGHT DOWN TWO POWER LINES NEAR 8 MILE ROAD AND US 131 (GRR)
1937,UNK,TRUFANT,MONTCALM,MI,43.31,-85.36,POWER POLES SNAPPED IN HALF IN A FIELD (GRR)
2000,UNK,2 WSW ZEPHYRHILLS,PASCO,FL,28.22,-82.21,TREE FELL ON A HOUSE. TIME ESTIMATED BY RADAR. (TBW)
2000,UNK,2 N OCALA,MARION,FL,29.21,-82.13,THE SHERIFFS OFFICE RECEIVED REPORTS OF NUMEROUS TREES DOWN IN THE OCALA AREA. THE TIME GIVEN WAS BASED ON RADAR. (JAX)
2005,UNK,2 N OCALA,MARION,FL,29.21,-82.13,*** 1 FATAL *** A TREE FELL ON TWO CARS KILLING A MAN IN ONE OF THE CARS IN THE OCALA AREA. THE TIME GIVEN WAS BASED ON RADAR. (JAX)
2015,UNK,BELDING,IONIA,MI,43.1,-85.23,IONIA CO CENTRAL DISPATCH STATED THAT THEY HAD VARIOUS REPORTS OF TREES AND LIMBS DOWN IN THE BELDING AND ORLEANS AREAS (GRR)
2020,60,S ALMA,GRATIOT,MI,43.37,-84.66,SPOTTER REPORTED SEVERAL 5-6 INCH TREE LIMBS DOWN (GRR)
2020,UNK,4 E BEAVERTON,GLADWIN,MI,43.88,-84.41,NUMEROUS TREES DOWN. (APX)
2025,UNK,SEFFNER,HILLSBOROUGH,FL,28,-82.27,LARGE TREE DOWN ON A HOUSE IN SEFFNER. NO INJURIES REPORTED. TIME ESTIMATED BY RADAR. (TBW)
2030,UNK,4 S WINEGARS,GLADWIN,MI,43.88,-84.37,14 INCH DIAMETER TREES DOWN AROUND ALBRIGHT SHORES (APX)
2030,UNK,2 S WEST BRANCH,OGEMAW,MI,44.25,-84.23,SEMI TRAILER BLOWN OVER (APX)
2050,73,2 E ALMA,GRATIOT,MI,43.38,-84.62,SPOTTER REPORTED LARGE TREES AND POWER LINES DOWN. TREES WERE ONE TO ONE AND A HALF FOOT IN DIAMETER. (GRR)
