Time,F_Scale,Location,County,State,Lat,Lon,Comments
2010,UNK,2 SW VIOLA,SUMNER,KS,37.46,-97.67,BRIEF TORNADO TOUCHDOWN BUT HAS SINCE LIFTED. ROTATION IS STILL SEEN. (ICT)
2019,UNK,2 E VIOLA,SEDGWICK,KS,37.48,-97.61,BRIEF TORNADO TOUCHDOWN (ICT)
2023,UNK,2 E VIOLA,SEDGWICK,KS,37.48,-97.61,ROPE TORNADO TOUCHDOWN APPROXIMATELY 30 SECONDS AND HAS NOW LIFTED. (ICT)
2037,UNK,6 N CLEARWATER,SEDGWICK,KS,37.59,-97.5,SPOTTER REPORTS LARGE CONE TORNADO DOING DAMAGE (ICT)
2038,UNK,6 S WEST WICHITA,SEDGWICK,KS,37.6,-97.46,UPROOTED TREES AND DOWNED POWER LINES FOR ABOUT A MILE NEAR 119TH STREET WEST AND JUST NORTH OF 55TH STREET SOUTH. UNKNOWN DAMAGE TO FARMSTEADS AS WELL. (ICT)
2112,UNK,2 S PERTH,SUMNER,KS,37.14,-97.49,TRAINED SPOTTER REPORTED A TORNADO WHICH WENT JUST SOUTH OF HIS LOCATION. (ICT)
2121,UNK,EDMOND,OKLAHOMA,OK,35.65,-97.48,15TH AND COLTRAIN RD,FROM KWTV (OUN)
2133,UNK,1 SW ARCADIA,OKLAHOMA,OK,35.66,-97.34,AT E HWY 66 AND POST RD. FROM VARIOUS MEDIA SOURCES. (OUN)
2135,UNK,7 E CALDWELL,SUMNER,KS,37.04,-97.48,ELEPHANT TRUNK TORNADO 7-8 MILES EAST OF CALDWELL (ICT)
2136,UNK,SOUTH HAVEN,SUMNER,KS,37.05,-97.4,TRAINED SPOTTER WHO WAS 2 NORTHEAST OF SOUTH HAVEN AND LOOKING SOUTHWEST TOWARDS SOUTH HAVEN REPORTS A BRIEF STOVEPIPE TORNADO. IT WAS A FUNNEL AT THE TIME OF THE CALL. (ICT)
2140,UNK,1 S SOUTH HAVEN,SUMNER,KS,37.03,-97.4,A ROPE TORNADO WAS REPORTED 1 MILE SOUTH OF SOUTH HAVEN AND MOVING NORTHEAST BY OKLAHOMA HIGHWAY TROOP K. (ICT)
2146,UNK,4 S UDALL,COWLEY,KS,37.33,-97.12,SPOTTER WAS 5 SOUTH OF UDALL LOOKING NORTH WEST AND OBSERVED WHITE CONE TORNADO (ICT)
2153,UNK,3 N LUTHER,OKLAHOMA,OK,35.71,-97.18,FROM KWTV (OUN)
