Time,Speed,Location,County,State,Lat,Lon,Comments
1524,UNK,1 N ROCKMART,POLK,GA,34.02,-85.04,SEVERAL TREES DOWN ON POWERLINES IN THE ROCKMART AND ARAGON AREA. (FFC)
1530,UNK,1 ESE HIRAM,PAULDING,GA,33.87,-84.75,AT LEAST 15 LARGE TREES UPROOTED AND SNAPPED ALONG QUAIL RIDGE ROAD. (FFC)
1540,UNK,3 E TEMPLE,CARROLL,GA,33.74,-84.98,A COUPLE OF TREES AND PEA SIZED HAIL WERE REPORTED IN NORTHERN CARROLL COUNTY. (FFC)
1545,UNK,EVENSVILLE,RHEA,TN,35.56,-84.96,SEVERAL TREES DOWN THROUGHOUT THE COUNTY...REPORTED BY DISPATCH. (MRX)
1600,UNK,DOUGLASVILLE,DOUGLAS,GA,33.75,-84.75,TREES DOWN ACROSS THE COUNTY...SEVERAL ON POWER LINES AND HOMES. (FFC)
1604,UNK,4 SSE DOUGLASVILLE,DOUGLAS,GA,33.7,-84.71,NUMEROUS TREES DOWN AND SOME ON HOMES IN DOUGLAS COUNTY. PILGRIMS DR...WINDMARK PLACE...DAVID DR...GREENBROOK DR...MCKOWN RD...HIDDEN BRANCH RD...BOMAR RD...S BURNT HIC (FFC)
1615,UNK,3 SE NEWNAN,COWETA,GA,33.34,-84.76,A TREE FELL ON A HOUSE ON SUNNYLAND DRIVE IN NEWNAN. (FFC)
1630,UNK,SENOIA,COWETA,GA,33.3,-84.55,SEVERAL TREES AND POWER LINES WERE BLOWN DOWN IN THE SENOIA AREA. (FFC)
1630,UNK,SALE CREEK,HAMILTON,TN,35.38,-85.11,SEVERAL TREES DOWN WITH DAMAGE TO SOME CAMPERS...REPORTED BY EMERGENCY MANAGER. (MRX)
1645,UNK,PEACHTREE CITY,FAYETTE,GA,33.4,-84.58,TREES DOWN ON POWER LINES AND LYING ACROSS THE ROAD AT ELLISON AND TYRONE. (FFC)
1655,UNK,GAY,MERIWETHER,GA,33.09,-84.57,SEVERAL TREES WERE BLOWN DOWN IN EASTERN MERIWETHER COUNTY...SPECIFICALLY ALONG GAY ROAD NEAR MURRAY ROAD AND ALONG HIGHWAY 100 NEAR MILE MARKER 10. (FFC)
1705,65,W OAK RIDGE,ANDERSON,TN,35.96,-84.3,WIND GUST OF ALMOST 70 MPH MEASURED ON THE WEST SIDE OF OAK RIDGE. (MRX)
1710,61,MUSCATINE MUNICIPAL AIR,MUSCATINE,IA,41.37,-91.15,PEAK WIND GUST FROM THE MUSCATINE ASOS. (DVN)
1726,UNK,GREENVILLE,MERIWETHER,GA,33.03,-84.71,SEVERAL TREES REPORTED DOWNED IN THE GREENVILLE AREA (FFC)
1744,UNK,1 N THOMASTON,UPSON,GA,32.9,-84.33,SEVERAL TREES AND POWERLINES DOWN ACROSS ROADS ON THE NORTH SIDE OF THOMASTON. A FEW OTHER TREES REPORTED DOWN IN THE EASTERN PART OF THE COUNTY (FFC)
1745,UNK,CLINTON,ANDERSON,TN,36.09,-84.13,TREES DOWN ON ROADWAY IN VARIOUS PARTS OF COUNTY (MRX)
1806,UNK,YATESVILLE,UPSON,GA,32.91,-84.14,SEVERAL TREES DOWNED IN THE YATESVILLE AREA OF EASTERN UPSON COUNTY (FFC)
1859,UNK,3 NE WOODBINE,JO DAVIESS,IL,42.38,-90.11,2 INCH DIAMETER TREE LIMBS DOWN. (DVN)
1907,64,3 NNE STOCKTON,JO DAVIESS,IL,42.39,-89.98,(DVN)
1907,UNK,3 NNE STOCKTON,JO DAVIESS,IL,42.39,-89.98,4 INCH DIAMETER TREE LIMB DOWN AT RESIDENCE...DELAYED REPORT. (DVN)
1922,UNK,MONTEZUMA,MACON,GA,32.3,-84.03,TREE DOWN WITH POWERLINES AT 212 NORTH DOOLY ST. TREE DOWN ON OLD PERRY ROAD IN MARSHALLVILLE. TREE DOWN ON HWY 127 ON MARVIS CHAPMAN ROAD. (FFC)
