Time,Speed,Location,County,State,Lat,Lon,Comments
2045,UNK,EAST CAMDEN,OUACHITA,AR,33.61,-92.74,A ROOF WAS BLOWN OFF A MOBILE HOME. (LZK)
0430,UNK,TILDEN,MADISON,NE,42.04,-97.83,TREE BRANCHES BLOWN DOWN. (OAX)
0530,UNK,NORFOLK,MADISON,NE,42.03,-97.42,HIGHWAY SIGN BLOWN DOWN. (OAX)
0539,58,STANTON,STANTON,NE,41.95,-97.22,TREES AND POWER LINES BLOWN DOWN. (OAX)
0539,UNK,STANTON,STANTON,NE,41.95,-97.22,TREES AND POWER LINES BLOWN DOWN. (OAX)
0545,UNK,STANTON,STANTON,NE,41.95,-97.22,6 TO 8 INCH TREES LIMBS DOWN ACROSS HIGHWAY 57 IN STANTON. NUMEROUS OTHER BRANCHES BLOWN DOWN. (OAX)
0637,77,FREMONT,DODGE,NE,41.44,-96.49,(OAX)
0640,UNK,FREMONT,DODGE,NE,41.44,-96.49,TREES DOWN ON POWER LINES. (OAX)
0722,UNK,1 NNE OMAHA,DOUGLAS,NE,41.28,-96.01,3 INCH DIAMETER LIMBS DOWN NEAR 61ST AND BLONDO. (OAX)
0725,UNK,1 NNE OMAHA,DOUGLAS,NE,41.28,-96.01,3 INCH LIMBS DOWN NEAR 61ST AND BLONDO (OAX)
0727,67,OMAHA,DOUGLAS,NE,41.32,-95.95,SOME BRANCHES BLOWN DOWN. MILLER PARK AREA. (OAX)
